src_ip,dst_ip,src_port,dst_port,total_packets,total_bytes,mean_packet_length,std_packet_length,flow_duration,mean_inter_arrival_time,std_inter_arrival_time,handshake_ratio,application_data_ratio,alert_ratio,label
::1,::1,8443,6114,9,2435,270.55555555555554,429.9646267391232,2.0265228748321533,0.2533153593540191,0.4362249044240207,0.1111111111111111,0.0,0.0,0
::1,::1,8443,11793,9,2435,270.55555555555554,429.9646267391232,2.0255022048950195,0.2531877756118774,0.4361223028081865,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6172,9,2435,270.55555555555554,429.9646267391232,2.026196002960205,0.2532745003700256,0.4361619666837628,0.1111111111111111,0.0,0.0,0
::1,::1,9946,8443,10,2310,231.0,452.2983528601448,2.020757913589477,0.2245286570654975,0.4177271964324898,0.1,0.0,0.0,0
::1,::1,8443,11831,9,2435,270.55555555555554,429.9646267391232,2.00988507270813,0.2512356340885162,0.4326316164260639,0.1111111111111111,0.0,0.0,0
::1,::1,6354,8443,10,2310,231.0,452.2983528601448,2.0157501697540283,0.2239722410837809,0.4167742990463588,0.1,0.0,0.0,0
::1,::1,11890,8443,10,2310,231.0,452.2983528601448,2.0226738452911377,0.2247415383656819,0.4185876046085734,0.1,0.0,0.0,0
::1,::1,10886,8443,10,2310,231.0,452.2983528601448,2.020267963409424,0.2244742181566026,0.4178173151249854,0.1,0.0,0.0,0
::1,::1,6323,8443,10,2310,231.0,452.2983528601448,2.022684097290039,0.224742677476671,0.4177872271592313,0.1,0.0,0.0,0
::1,::1,8838,8443,10,2310,231.0,452.2983528601448,2.0316739082336426,0.2257415453592936,0.4200557169227563,0.1,0.0,0.0,0
::1,::1,8443,8636,9,2435,270.55555555555554,429.9646267391232,2.0181920528411865,0.2522740066051483,0.4345839881503945,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6255,9,2435,270.55555555555554,429.9646267391232,2.026458978652954,0.2533073723316192,0.4362973109873913,0.1111111111111111,0.0,0.0,0
::1,::1,10858,8443,10,2310,231.0,452.2983528601448,2.0288760662078857,0.2254306740230984,0.4195766149452653,0.1,0.0,0.0,0
::1,::1,8443,8564,9,2435,270.55555555555554,429.9646267391232,2.0046420097351074,0.2505802512168884,0.4316401440334638,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6115,9,2435,270.55555555555554,429.9646267391232,2.029578924179077,0.2536973655223846,0.4369758017925973,0.1111111111111111,0.0,0.0,0
::1,::1,6353,8443,10,2310,231.0,452.2983528601448,2.0230050086975098,0.2247783342997233,0.4181519631331843,0.1,0.0,0.0,0
::1,::1,10673,8443,10,2309,230.9,452.32829891573226,2.024405002593994,0.2249338891771104,0.4184901772211359,0.1,0.0,0.0,0
::1,::1,8443,10579,9,2435,270.55555555555554,429.9646267391232,2.021183967590332,0.2526479959487915,0.4350330515998061,0.1111111111111111,0.0,0.0,0
::1,::1,8443,9933,9,2435,270.55555555555554,429.9646267391232,2.025223016738892,0.2531528770923614,0.4364303885089193,0.1111111111111111,0.0,0.0,0
::1,::1,13039,8443,10,2310,231.0,452.2983528601448,2.009000062942505,0.2232222292158338,0.4152147901781813,0.1,0.0,0.0,0
::1,::1,6199,8443,10,2310,231.0,452.2983528601448,2.022069931030273,0.2246744367811415,0.4181165088595557,0.1,0.0,0.0,0
::1,::1,8443,11176,9,2435,270.55555555555554,429.9646267391232,2.024643898010254,0.2530804872512817,0.4358790214511375,0.1111111111111111,0.0,0.0,0
::1,::1,8443,6393,9,2435,270.55555555555554,429.9646267391232,2.0224180221557617,0.2528022527694702,0.4356617895354027,0.1111111111111111,0.0,0.0,0
::1,::1,8443,8533,9,2435,270.55555555555554,429.9646267391232,2.031980037689209,0.2539975047111511,0.4375197968355321,0.1111111111111111,0.0,0.0,0
::1,::1,8443,10496,9,2435,270.55555555555554,429.9646267391232,2.0233070850372314,0.2529133856296539,0.4356642039320501,0.1111111111111111,0.0,0.0,0
::1,::1,11176,8443,10,2309,230.9,452.32829891573226,2.0249340534210205,0.2249926726023356,0.4185116825538458,0.1,0.0,0.0,0
::1,::1,11781,8443,10,2310,231.0,452.2983528601448,2.036691904067993,0.2262991004519992,0.421274988030057,0.1,0.0,0.0,0
::1,::1,6236,8443,10,2310,231.0,452.2983528601448,2.012169122695923,0.2235743469662136,0.4160451472823624,0.1,0.0,0.0,0
::1,::1,4357,8443,10,2311,231.1,452.2686038185715,2.029538869857788,0.2255043188730875,0.4195546738685,0.1,0.0,0.0,0
::1,::1,6263,8443,10,2310,231.0,452.2983528601448,2.0079779624938965,0.2231086624993218,0.4150803179922258,0.1,0.0,0.0,0
::1,::1,9947,8443,10,2310,231.0,452.2983528601448,2.029323101043701,0.2254803445604112,0.4190933132014218,0.1,0.0,0.0,0
